fund_name,report_date,financial_type,symbol,security_name,isin,price,quantity,realised_pl,market_value,equity_id,actual_eod_price,is_price_matched,price_break
Belaware,2023-07-31,Equities,A,Agilent Technologies,,121.77,1017.6635441047298,210.37015,123920.89,A,121.77,True,0.0
Magnum,2023-07-31,Equities,A,Agilent Technologies,,121.77,172085.08172221083,-6890.1187,20954800.0,A,121.77,True,0.0
Magnum,2023-08-31,Equities,A,Agilent Technologies,,117.59,170305.47014537625,-37193.883,20026220.0,A,117.59,True,0.0
Belaware,2023-08-31,Equities,A,Agilent Technologies,,117.59,1011.569750427456,-127.36029,118950.484,A,117.59,True,0.0
Belaware,2022-08-31,Equities,AAL,American Airlines Group,,12.99,7629.736206100095,683.50085,99110.27,AAL,12.99,True,0.0
Belaware,2022-09-30,Equities,AAL,American Airlines Group,,12.04,7654.151361959616,115.97199,92155.984,AAL,12.04,True,0.0
Belaware,2022-10-31,Equities,AAL,American Airlines Group,,14.18,7804.457165219786,-1608.2721,110667.2,AAL,15.598,False,-1.4179993
Belaware,2022-11-30,Equities,AAL,American Airlines Group,,14.43,7520.630978352864,354.78275,108522.7,AAL,14.43,True,0.0
Belaware,2022-12-31,Equities,AAL,American Airlines Group,,12.72,7736.552512985496,1846.1292,98408.945,AAL,12.72,True,0.0
Belaware,2023-01-31,Equities,AAL,American Airlines Group,,16.14,7472.563640254433,4514.21,120607.18,AAL,16.14,True,0.0
Belaware,2023-02-28,Equities,AAL,American Airlines Group,,15.98,7839.553951767848,293.59225,125276.07,AAL,15.98,True,0.0
Belaware,2023-03-31,Equities,AAL,American Airlines Group,,14.75,7674.751649716086,-1013.5342,113202.586,AAL,14.75,True,0.0
Belaware,2023-04-30,Equities,AAL,American Airlines Group,,13.64,7573.276158174955,-563.18896,103299.484,AAL,13.64,True,0.0
Belaware,2023-05-31,Equities,AAL,American Airlines Group,,14.78,7596.165366793255,-130.46849,112271.32,AAL,14.78,True,0.0
Belaware,2023-06-30,Equities,AAL,American Airlines Group,,17.94,7405.421961640753,3013.7458,132853.27,AAL,17.94,True,0.0
Belaware,2023-07-31,Equities,AAL,American Airlines Group,,16.75,7565.646421968854,953.3355,126724.58,AAL,16.75,True,0.0
Belaware,2023-08-31,Equities,AAL,American Airlines Group,,15.11,7588.535630587155,187.69151,114662.77,AAL,15.11,True,0.0
Leeder,2022-08-31,Equities,AAP,Advance Auto Parts,,162.78,15573.47518618261,17416.574,2535050.2,AAP,162.78,True,0.0
Report-of-Gohen,2022-08-31,Equities,AAP,SEC-Advance Auto Parts,,162.78,3597.3075822678675,2750.5676,585569.75,AAP,162.78,True,0.0
Belaware,2022-08-31,Equities,AAP,Advance Auto Parts,,162.78,1532.610766290849,-480.6892,249478.38,AAP,162.78,True,0.0
Report-of-Gohen,2022-09-30,Equities,AAP,SEC-Advance Auto Parts,,152.25,3678.2470028688954,4261.4604,560013.1,AAP,152.25,True,0.0
Leeder,2022-09-30,Equities,AAP,Advance Auto Parts,,152.25,15394.38022154151,-9429.35,2343794.5,AAP,152.25,True,0.0
Belaware,2022-09-30,Equities,AAP,Advance Auto Parts,,152.25,1502.5715952715484,-1581.5624,228766.53,AAP,152.25,True,0.0
Report-of-Gohen,2022-10-31,Equities,AAP,SEC-Advance Auto Parts,,184.96,3619.610889277928,9589.937,669483.25,AAP,203.456,False,-18.495987
Leeder,2022-10-31,Equities,AAP,Advance Auto Parts,,184.96,15160.778093748771,38205.63,2804137.5,AAP,203.456,False,-18.495987
Belaware,2022-10-31,Equities,AAP,Advance Auto Parts,,184.96,1564.1825480764403,-10076.472,289311.22,AAP,203.456,False,-18.495987
Belaware,2022-11-30,Equities,AAP,Advance Auto Parts,,147.04,1568.473858222055,813.6324,230628.39,AAP,147.04,True,0.0
Report-of-Gohen,2022-11-30,Equities,AAP,SEC-Advance Auto Parts,,147.04,3678.2470028688954,11117.407,540849.44,AAP,147.04,True,0.0
Leeder,2022-11-30,Equities,AAP,Advance Auto Parts,,147.04,15593.720703924648,82085.92,2292900.8,AAP,147.04,True,0.0
Belaware,2022-12-31,Equities,AAP,Advance Auto Parts,,144.7,1553.3010116357757,-177.52231,224762.66,AAP,144.7,True,0.0
Report-of-Gohen,2022-12-31,Equities,AAP,SEC-Advance Auto Parts,,144.7,3694.7946177473264,193.6071,534636.75,AAP,144.7,True,0.0
Leeder,2022-12-31,Equities,AAP,Advance Auto Parts,,144.7,15766.586278491272,2022.5272,2281425.0,AAP,144.7,True,0.0
Report-of-Gohen,2023-01-31,Equities,AAP,SEC-Advance Auto Parts,,149.87,3572.486159950219,3161.6736,535408.5,AAP,149.87,True,0.0
Leeder,2023-01-31,Equities,AAP,Advance Auto Parts,,149.87,15892.731427499351,-3260.852,2381843.8,AAP,149.87,True,0.0
Belaware,2023-01-31,Equities,AAP,Advance Auto Parts,,149.87,1521.2694466202968,828.0159,227992.66,AAP,149.87,True,0.0
Belaware,2023-02-28,Equities,AAP,Advance Auto Parts,,142.66,1569.2401636052002,1729.3444,223867.8,AAP,142.66,True,0.0
Report-of-Gohen,2023-02-28,Equities,AAP,SEC-Advance Auto Parts,,142.66,3577.162659807167,168.58781,510318.03,AAP,142.66,True,0.0
Leeder,2023-02-28,Equities,AAP,Advance Auto Parts,,142.66,15498.722505288932,-14204.021,2211047.8,AAP,142.66,True,0.0
Leeder,2023-03-31,Equities,AAP,Advance Auto Parts,,119.68,16018.876576507431,59765.703,1917139.1,AAP,119.68,True,0.0
Report-of-Gohen,2023-03-31,Equities,AAP,SEC-Advance Auto Parts,,119.68,3622.8484661019697,5249.2993,433582.5,AAP,119.68,True,0.0
Belaware,2023-03-31,Equities,AAP,Advance Auto Parts,,119.68,1544.7183913445467,-2817.5515,184871.89,AAP,119.68,True,0.0
Report-of-Gohen,2023-04-30,Equities,AAP,SEC-Advance Auto Parts,,125.09,3567.809660093271,1488.7997,446297.3,AAP,125.09,True,0.0
Belaware,2023-04-30,Equities,AAP,Advance Auto Parts,,125.09,1527.8596729153471,456.02832,191119.97,AAP,125.09,True,0.0
Leeder,2023-04-30,Equities,AAP,Advance Auto Parts,,125.09,15872.485909757315,3959.8674,1985489.2,AAP,125.09,True,0.0
Report-of-Gohen,2023-05-31,Equities,AAP,SEC-Advance Auto Parts,,72.63,3537.592276402221,-7926.0195,256935.33,AAP,72.63,True,0.0
Belaware,2023-05-31,Equities,AAP,Advance Auto Parts,,72.63,1552.6879673292592,6512.4614,112771.73,AAP,72.63,True,0.0
Leeder,2023-05-31,Equities,AAP,Advance Auto Parts,,72.63,15956.582675762702,22058.582,1158926.6,AAP,72.63,True,0.0
Leeder,2023-06-30,Equities,AAP,Advance Auto Parts,,70.05,15953.467980725463,-40.179565,1117540.4,AAP,70.05,True,0.0
Belaware,2023-06-30,Equities,AAP,Advance Auto Parts,,70.05,1498.433546202563,-699.882,104965.27,AAP,70.05,True,0.0
Report-of-Gohen,2023-06-30,Equities,AAP,SEC-Advance Auto Parts,,70.05,3607.0203127399914,895.62164,252671.77,AAP,70.05,True,0.0
Report-of-Gohen,2023-07-31,Equities,AAP,SEC-Advance Auto Parts,,74.39,3601.2646206083623,124.89852,267898.06,AAP,74.39,True,0.0
Leeder,2023-07-31,Equities,AAP,Advance Auto Parts,,74.39,15518.968023030971,9428.649,1154456.0,AAP,74.39,True,0.0
Belaware,2023-07-31,Equities,AAP,Advance Auto Parts,,74.39,1554.373839172179,-1213.9043,115629.87,AAP,74.39,True,0.0
Belaware,2023-08-31,Equities,AAP,Advance Auto Parts,,62.71,1565.1021145362151,626.5313,98147.555,AAP,62.71,True,0.0
Report-of-Gohen,2023-08-31,Equities,AAP,SEC-Advance Auto Parts,,62.71,3667.455080122091,3865.523,229986.11,AAP,62.71,True,0.0
Leeder,2023-08-31,Equities,AAP,Advance Auto Parts,,62.71,15757.242193379563,13915.212,988136.7,AAP,62.71,True,0.0
mend-report Wallington,2022-08-31,Equities,ABBV,X_AbbVie,,129.22,53141.2855352759,18322.89,6866917.0,ABBV,129.22,True,0.0
Virtous,2022-08-31,Equities,ABBV,AbbVie,,129.22,559.425695480299,-1.6415327,72288.99,ABBV,129.22,True,0.0
mend-report Wallington,2022-09-30,Equities,ABBV,X_AbbVie,,128.98,53263.51049200703,146.66995,6869927.5,ABBV,128.98,True,0.0
Virtous,2022-09-30,Equities,ABBV,AbbVie,,128.98,565.5234355610343,7.317288,72941.21,ABBV,128.98,True,0.0
mend-report Wallington,2022-10-31,Equities,ABBV,X_AbbVie,,142.12,52445.13469476379,53767.29,7453502.5,ABBV,156.332,False,-14.212006
Virtous,2022-10-31,Equities,ABBV,AbbVie,,142.12,560.8242597189998,308.73584,79704.34,ABBV,156.332,False,-14.212006
Virtous,2022-11-30,Equities,ABBV,AbbVie,,156.47,569.8310134162326,-646.23456,89161.46,ABBV,156.47,True,0.0
mend-report Wallington,2022-11-30,Equities,ABBV,X_AbbVie,,156.47,51632.07302607407,58337.176,8078870.5,ABBV,156.47,True,0.0
mend-report Wallington,2022-12-31,Equities,ABBV,X_AbbVie,,156.89,51871.2088109828,-502.18515,8138074.0,ABBV,156.89,True,0.0
Virtous,2022-12-31,Equities,ABBV,AbbVie,,156.89,559.313810341203,22.086126,87750.74,ABBV,156.89,True,0.0
Virtous,2023-01-31,Equities,ABBV,AbbVie,,144.8,548.8525498357213,-632.3832,79473.85,ABBV,144.8,True,0.0
mend-report Wallington,2023-01-31,Equities,ABBV,X_AbbVie,,144.8,52131.60111010566,15740.715,7548656.0,ABBV,144.8,True,0.0
mend-report Wallington,2023-02-28,Equities,ABBV,X_AbbVie,,150.82,54714.26758712007,-77738.26,8252006.0,ABBV,150.82,True,0.0
Virtous,2023-02-28,Equities,ABBV,AbbVie,,150.82,561.4955705535762,-380.55493,84684.766,ABBV,150.82,True,0.0
mend-report Wallington,2023-03-31,Equities,ABBV,X_AbbVie,,156.19,52227.25542406915,66776.27,8157375.0,ABBV,156.19,True,0.0
Virtous,2023-03-31,Equities,ABBV,AbbVie,,156.19,543.0904651722743,494.1771,84825.3,ABBV,156.19,True,0.0
Virtous,2023-04-30,Equities,ABBV,AbbVie,,149.46,553.5517256777559,352.02142,82733.84,ABBV,149.46,True,0.0
mend-report Wallington,2023-04-30,Equities,ABBV,X_AbbVie,,149.46,51637.38715462759,-19849.066,7717724.0,ABBV,149.46,True,0.0
Virtous,2023-05-31,Equities,ABBV,AbbVie,,136.45,568.76810459482,989.82544,77608.41,ABBV,136.45,True,0.0
mend-report Wallington,2023-05-31,Equities,ABBV,X_AbbVie,,136.45,53943.71894685856,150026.89,7360620.5,ABBV,136.45,True,0.0
mend-report Wallington,2023-06-30,Equities,ABBV,X_AbbVie,,133.25,54655.81217303126,11393.491,7282887.0,ABBV,133.25,True,0.0
Virtous,2023-06-30,Equities,ABBV,AbbVie,,133.25,557.0761075592818,-187.07195,74230.39,ABBV,133.25,True,0.0
Virtous,2023-07-31,Equities,ABBV,AbbVie,,149.58,562.8381922227288,-470.4742,84189.336,ABBV,149.58,True,0.0
mend-report Wallington,2023-07-31,Equities,ABBV,X_AbbVie,,149.58,54432.61877378311,18223.74,8142031.0,ABBV,149.58,True,0.0
mend-report Wallington,2023-08-31,Equities,ABBV,X_AbbVie,,138.83,53327.28003464937,-59411.957,7403426.5,ABBV,138.83,True,0.0
Virtous,2023-08-31,Equities,ABBV,AbbVie,,138.83,565.1318375741981,123.28344,78457.25,ABBV,138.83,True,0.0
Report-of-Gohen,2022-08-31,Equities,ABC,SEC-AmerisourceBergen,,144.87,89333.13829298537,-68625.94,12941692.0,ABC,144.87,True,0.0
TT_monthly_Trustmind,2022-08-31,Equities,ABC,FIN-AmerisourceBergen,,144.87,18142.95261317101,-6795.037,2628369.5,ABC,144.87,True,0.0
Fund Whitestone,2022-08-31,Equities,ABC,AmerisourceBergen,,144.87,163073.36374015157,-92134.56,23624438.0,ABC,144.87,True,0.0
Leeder,2022-08-31,Equities,ABC,AmerisourceBergen,,144.87,181144.1061129661,116410.875,26242346.0,ABC,144.87,True,0.0
TT_monthly_Trustmind,2022-09-30,Equities,ABC,FIN-AmerisourceBergen,,133.77,17741.993360419936,-22253.238,2373346.5,ABC,133.77,True,0.0
Report-of-Gohen,2022-09-30,Equities,ABC,SEC-AmerisourceBergen,,133.77,87957.4079632734,-76353.03,11766062.0,ABC,133.77,True,0.0
Leeder,2022-09-30,Equities,ABC,AmerisourceBergen,,133.77,184857.56028828197,206096.7,24728396.0,ABC,133.77,True,0.0
Fund Whitestone,2022-09-30,Equities,ABC,AmerisourceBergen,,133.77,160023.89183821072,-169245.69,21406396.0,ABC,133.77,True,0.0
Fund Whitestone,2022-10-31,Equities,ABC,AmerisourceBergen,,155.4,164459.48733194286,-479709.66,25557004.0,ABC,170.94,False,-15.540009
Leeder,2022-10-31,Equities,ABC,AmerisourceBergen,,155.4,177358.19429520515,811056.44,27561464.0,ABC,170.94,False,-15.540009
TT_monthly_Trustmind,2022-10-31,Equities,ABC,FIN-AmerisourceBergen,,155.4,18128.43825108048,-41794.016,2817159.2,ABC,170.94,False,-15.540009
Report-of-Gohen,2022-10-31,Equities,ABC,SEC-AmerisourceBergen,,155.4,89458.20468659556,-162311.17,13901805.0,ABC,170.94,False,-15.540009
Report-of-Gohen,2022-11-30,Equities,ABC,SEC-AmerisourceBergen,,169.24,91700.46645774948,-155164.52,15519387.0,ABC,169.24,True,0.0
Fund Whitestone,2022-11-30,Equities,ABC,AmerisourceBergen,,169.24,167916.64264323408,-239235.14,28418212.0,ABC,169.24,True,0.0
Leeder,2022-11-30,Equities,ABC,AmerisourceBergen,,169.24,175981.4990887466,95267.305,29783108.0,ABC,169.24,True,0.0
TT_monthly_Trustmind,2022-11-30,Equities,ABC,FIN-AmerisourceBergen,,169.24,18159.281270522868,-2134.337,3073276.8,ABC,169.24,True,0.0
Report-of-Gohen,2022-12-31,Equities,ABC,SEC-AmerisourceBergen,,164.3,91780.86628221316,1985.8756,15079596.0,ABC,164.3,True,0.0
TT_monthly_Trustmind,2022-12-31,Equities,ABC,FIN-AmerisourceBergen,,164.3,18331.639320347997,4257.2437,3011888.2,ABC,164.3,True,0.0
Fund Whitestone,2022-12-31,Equities,ABC,AmerisourceBergen,,164.3,165274.85415064363,-65252.176,27154658.0,ABC,164.3,True,0.0
Leeder,2022-12-31,Equities,ABC,AmerisourceBergen,,164.3,181506.3943251921,136464.9,29821500.0,ABC,164.3,True,0.0
TT_monthly_Trustmind,2023-01-31,Equities,ABC,FIN-AmerisourceBergen,,167.52,18017.766240140136,5053.3564,3018336.2,ABC,167.52,True,0.0
Fund Whitestone,2023-01-31,Equities,ABC,AmerisourceBergen,,167.52,158442.08020993127,110007.664,26542218.0,ABC,167.52,True,0.0
Leeder,2023-01-31,Equities,ABC,AmerisourceBergen,,167.52,176561.1602283081,79618.266,29577526.0,ABC,167.52,True,0.0
Report-of-Gohen,2023-01-31,Equities,ABC,SEC-AmerisourceBergen,,167.52,90932.20146842982,13663.504,15232962.0,ABC,167.52,True,0.0
Fund Whitestone,2023-02-28,Equities,ABC,AmerisourceBergen,,154.71,164769.32672304913,405260.12,25491462.0,ABC,154.71,True,0.0
TT_monthly_Trustmind,2023-02-28,Equities,ABC,FIN-AmerisourceBergen,,154.71,17888.95127658662,-8250.599,2767599.8,ABC,154.71,True,0.0
Report-of-Gohen,2023-02-28,Equities,ABC,SEC-AmerisourceBergen,,154.71,87367.80925053969,-228299.33,13516674.0,ABC,154.71,True,0.0
Leeder,2023-02-28,Equities,ABC,AmerisourceBergen,,154.71,176850.99079808884,18563.648,27360616.0,ABC,154.71,True,0.0
Leeder,2023-03-31,Equities,ABC,AmerisourceBergen,,159.23,179223.97858816868,-53629.523,28537834.0,ABC,159.23,True,0.0
Report-of-Gohen,2023-03-31,Equities,ABC,SEC-AmerisourceBergen,,159.23,88547.00667600709,-26649.861,14099340.0,ABC,159.23,True,0.0
Fund Whitestone,2023-03-31,Equities,ABC,AmerisourceBergen,,159.23,166856.6657789231,-47173.863,26568586.0,ABC,159.23,True,0.0
TT_monthly_Trustmind,2023-03-31,Equities,ABC,FIN-AmerisourceBergen,,159.23,18627.36944794268,-16688.25,2966036.0,ABC,159.23,True,0.0
Leeder,2023-04-30,Equities,ABC,AmerisourceBergen,,165.94,176216.98642669345,100884.586,29241446.0,ABC,165.94,True,0.0
Fund Whitestone,2023-04-30,Equities,ABC,AmerisourceBergen,,165.94,160529.41926580522,212279.12,26638252.0,ABC,165.94,True,0.0
TT_monthly_Trustmind,2023-04-30,Equities,ABC,FIN-AmerisourceBergen,,165.94,18563.869113796583,2130.4363,3080488.5,ABC,165.94,True,0.0
Report-of-Gohen,2023-04-30,Equities,ABC,SEC-AmerisourceBergen,,165.94,89663.67090466942,-37464.086,14878790.0,ABC,165.94,True,0.0
TT_monthly_Trustmind,2023-05-31,Equities,ABC,FIN-AmerisourceBergen,,169.71,18010.509059094868,10430.837,3056563.5,ABC,169.71,True,0.0
Report-of-Gohen,2023-05-31,Equities,ABC,SEC-AmerisourceBergen,,169.71,89824.4705535968,-3031.0735,15244111.0,ABC,169.71,True,0.0
Fund Whitestone,2023-05-31,Equities,ABC,AmerisourceBergen,,169.71,162649.37299442716,-39961.13,27603226.0,ABC,169.71,True,0.0
Leeder,2023-05-31,Equities,ABC,AmerisourceBergen,,169.71,179350.77946244777,-59072.0,30437620.0,ABC,169.71,True,0.0
TT_monthly_Trustmind,2023-06-30,Equities,ABC,FIN-AmerisourceBergen,,191.93,18039.53778327594,-3225.0913,3462328.5,ABC,191.93,True,0.0
Fund Whitestone,2023-06-30,Equities,ABC,AmerisourceBergen,,191.93,167753.5692794939,-567076.2,32196942.0,ABC,191.93,True,0.0
Report-of-Gohen,2023-06-30,Equities,ABC,SEC-AmerisourceBergen,,191.93,90628.46879823366,-89324.2,17394322.0,ABC,191.93,True,0.0
Leeder,2023-06-30,Equities,ABC,AmerisourceBergen,,191.93,179966.66942323186,-68425.375,34541004.0,ABC,191.93,True,0.0
Report-of-Gohen,2023-07-31,Equities,ABC,SEC-AmerisourceBergen,,186.41,88538.0733621778,-57694.914,16504382.0,ABC,186.41,True,0.0
Fund Whitestone,2023-07-31,Equities,ABC,AmerisourceBergen,,186.41,160822.95132053748,-191285.06,29979006.0,ABC,186.41,True,0.0
TT_monthly_Trustmind,2023-07-31,Equities,ABC,FIN-AmerisourceBergen,,186.41,18440.49703602702,11066.476,3437493.0,ABC,186.41,True,0.0
Leeder,2023-07-31,Equities,ABC,AmerisourceBergen,,186.41,185419.10701723216,150487.28,34563976.0,ABC,186.41,True,0.0
TT_monthly_Trustmind,2023-08-31,Equities,ABC,FIN-AmerisourceBergen,,179.54,17923.422886551645,-17761.496,3217971.2,ABC,179.54,True,0.0
Report-of-Gohen,2023-08-31,Equities,ABC,SEC-AmerisourceBergen,,179.54,89047.27225044782,17490.982,15987547.0,ABC,179.54,True,0.0
Fund Whitestone,2023-08-31,Equities,ABC,AmerisourceBergen,,179.54,160366.34590206508,-15684.396,28792174.0,ABC,179.54,True,0.0
Leeder,2023-08-31,Equities,ABC,AmerisourceBergen,,179.54,183951.83975771716,-50400.63,33026714.0,ABC,179.54,True,0.0
Applebead,2022-08-31,Equities,ACGL,Arch Capital Group,,45.72,184611.9567033058,-45146.668,8440459.0,ACGL,45.72,True,0.0
rpt-Catalysm,2022-08-31,Equities,ACGL,Arch Capital Group,,45.72,7745.38929990031,1699.0754,354119.2,ACGL,45.72,True,0.0
rpt-Catalysm,2022-09-30,Equities,ACGL,Arch Capital Group,,45.54,7972.32920638739,204.24591,363059.88,ACGL,45.54,True,0.0
Applebead,2022-09-30,Equities,ACGL,Arch Capital Group,,45.54,187971.89431530595,3023.9438,8560240.0,ACGL,45.54,True,0.0
rpt-Catalysm,2022-10-31,Equities,ACGL,Arch Capital Group,,57.5,7935.925876677858,2176.9192,456315.75,ACGL,63.25,False,-5.75
Applebead,2022-10-31,Equities,ACGL,Arch Capital Group,,57.5,190076.47062172365,-125853.664,10929397.0,ACGL,63.25,False,-5.75
Applebead,2022-11-30,Equities,ACGL,Arch Capital Group,,59.91,188821.1093161412,15127.104,11312273.0,ACGL,59.91,True,0.0
rpt-Catalysm,2022-11-30,Equities,ACGL,Arch Capital Group,,59.91,7758.556461710141,2137.3015,464815.12,ACGL,59.91,True,0.0
Applebead,2022-12-31,Equities,ACGL,Arch Capital Group,,62.78,182248.92365750347,94310.87,11441587.0,ACGL,62.78,True,0.0
rpt-Catalysm,2022-12-31,Equities,ACGL,Arch Capital Group,,62.78,7644.699239001606,1633.8512,479934.22,ACGL,62.78,True,0.0
Applebead,2023-01-31,Equities,ACGL,Arch Capital Group,,64.35,182248.92365750347,0.0,11727718.0,ACGL,64.35,True,0.0
rpt-Catalysm,2023-01-31,Equities,ACGL,Arch Capital Group,,64.35,7863.119217258795,-1714.5968,505991.72,ACGL,64.35,True,0.0
Applebead,2023-02-28,Equities,ACGL,Arch Capital Group,,70.0,188987.2600771741,-190358.0,13229108.0,ACGL,70.0,True,0.0
rpt-Catalysm,2023-02-28,Equities,ACGL,Arch Capital Group,,70.0,7820.519576109344,1203.4398,547436.4,ACGL,70.0,True,0.0
rpt-Catalysm,2023-03-31,Equities,ACGL,Arch Capital Group,,67.87,7602.099597852155,-2326.1729,515954.5,ACGL,67.87,True,0.0
Applebead,2023-03-31,Equities,ACGL,Arch Capital Group,,67.87,183559.66855009692,-57803.85,12458195.0,ACGL,67.87,True,0.0
rpt-Catalysm,2023-04-30,Equities,ACGL,Arch Capital Group,,75.07,7513.802159833291,3178.7078,564061.1,ACGL,75.07,True,0.0
Applebead,2023-04-30,Equities,ACGL,Arch Capital Group,,75.07,188987.2600771741,-195393.3,14187274.0,ACGL,75.07,True,0.0
Applebead,2023-05-31,Equities,ACGL,Arch Capital Group,,69.7,184925.7970297014,-109050.28,12889328.0,ACGL,69.7,True,0.0
rpt-Catalysm,2023-05-31,Equities,ACGL,Arch Capital Group,,69.7,7873.188223348665,9649.516,548761.25,ACGL,69.7,True,0.0
rpt-Catalysm,2023-06-30,Equities,ACGL,Arch Capital Group,,74.85,7657.8664008114365,5544.537,573191.3,ACGL,74.85,True,0.0
Applebead,2023-06-30,Equities,ACGL,Arch Capital Group,,74.85,183079.6774626684,47537.58,13703514.0,ACGL,74.85,True,0.0
rpt-Catalysm,2023-07-31,Equities,ACGL,Arch Capital Group,,77.69,7695.818808380948,-538.9242,597888.2,ACGL,77.69,True,0.0
Applebead,2023-07-31,Equities,ACGL,Arch Capital Group,,77.69,184501.18952928385,-20185.47,14333897.0,ACGL,77.69,True,0.0
rpt-Catalysm,2023-08-31,Equities,ACGL,Arch Capital Group,,79.01,7821.294115039333,-828.137,617960.44,ACGL,79.01,True,0.0
Applebead,2023-08-31,Equities,ACGL,Arch Capital Group,,79.01,183467.3625717453,6823.258,14495756.0,ACGL,79.01,True,0.0
rpt-Catalysm,2022-08-31,Equities,ACN,Accenture,,283.86,2888.111264369607,1015.6547,819819.25,ACN,283.86,True,0.0
Belaware,2022-08-31,Equities,ACN,Accenture,,283.86,3798.209290372973,4139.018,1078159.8,ACN,283.86,True,0.0
rpt-Catalysm,2022-09-30,Equities,ACN,Accenture,,253.2,2924.2126551742267,5534.3433,740410.6,ACN,253.2,True,0.0
Belaware,2022-09-30,Equities,ACN,Accenture,,253.2,3890.505776129036,14149.051,985076.06,ACN,253.2,True,0.0
Belaware,2022-10-31,Equities,ACN,Accenture,,280.62,3861.259564593164,4009.6555,1083546.6,ACN,308.682,False,-28.062012
rpt-Catalysm,2022-10-31,Equities,ACN,Accenture,,280.62,2890.4217533811025,4632.7324,811110.1,ACN,308.682,False,-28.062012
Belaware,2022-11-30,Equities,ACN,Accenture,,297.45,3824.796755405584,3068.3455,1137685.8,ACN,297.45,True,0.0
rpt-Catalysm,2022-11-30,Equities,ACN,Accenture,,297.45,2940.9637005075706,-4253.105,874789.6,ACN,297.45,True,0.0
Belaware,2022-12-31,Equities,ACN,Accenture,,263.76,3906.0784342195657,13691.898,1030267.25,ACN,263.76,True,0.0
rpt-Catalysm,2022-12-31,Equities,ACN,Accenture,,263.76,2891.2881867604137,-8367.84,762606.2,ACN,263.76,True,0.0
rpt-Catalysm,2023-01-31,Equities,ACN,Accenture,,276.95,2826.305683312097,4285.596,782745.4,ACN,276.95,True,0.0
Belaware,2023-01-31,Equities,ACN,Accenture,,276.95,3778.838422992071,8391.479,1046549.3,ACN,276.95,True,0.0
Belaware,2023-02-28,Equities,ACN,Accenture,,263.55,3805.805708953719,1806.8081,1003020.1,ACN,263.55,True,0.0
rpt-Catalysm,2023-02-28,Equities,ACN,Accenture,,263.55,2965.223835128276,9307.517,781484.75,ACN,263.55,True,0.0
Belaware,2023-03-31,Equities,ACN,Accenture,,283.66,3857.461355302792,-5193.975,1094207.5,ACN,283.66,True,0.0
